district,locality,latitude,longitude,provice,id,zip_code,property_sub_type,property_type,price,nb_bedrooms,living_area,surface_of_the_plot,nb_facades,state_of_building,fireplace,equipped_kitchen,garden,garden_surface,terrace,terrace_surface,furnished,swimming_pool
Verviers,Malmedy,50.43028289999999,6.040164,Liège,20265656,4960,Duplex,APARTMENT,99000.0,2,56,,2,As new,0,1,0,,1,10,0,0
Neufchâteau,Libramont-Chevigny,49.9184911,5.377481899999999,Luxembourg,20368037,6800,Apartment,APARTMENT,110000.0,1,41,,2,Good,0,1,0,,0,,0,0
Verviers,Waimes,50.4189613,6.1134512,Liège,20358391,4950,Ground_Floor,APARTMENT,119000.0,1,33,,3,Good,0,0,0,,0,,0,0
Furnes,De Panne,51.0787466,2.5158982,Flandre Occidentale,20275364,8660,Apartment,APARTMENT,119000.0,1,37,,,Good,0,1,0,,0,,1,0
Anvers,ANTWERPEN,51.2331626,4.4296845,Anvers,20295761,2060,Flat_Studio,APARTMENT,129000.0,1,25,,2,Just renovated,0,1,0,,0,,0,0
Verviers,Malmedy,50.43028289999999,6.040164,Liège,11349822,4960,Duplex,APARTMENT,135000.0,2,56,,3,Good,0,1,0,,1,11,1,0
Verviers,Stavelot,50.3932381,5.927757799999999,Liège,20078472,4970,Ground_Floor,APARTMENT,135000.0,1,72,,,Just renovated,0,1,0,,0,,0,0
Liège,HORION-HOZÉMONT,50.635141,5.3963056,Liège,20201879,4460,Apartment,APARTMENT,145000.0,3,220,,4,To restore,0,0,0,,0,,0,0
Hal-Vilvorde,Zellik,50.8824385,4.2700102,Brabant Flamand,20112328,1731,Apartment,APARTMENT,149000.0,2,70,,,Good,0,1,0,,0,,0,0
Liège,Liège,50.64009369999999,5.5692507,Liège,20009325,4000,Apartment,APARTMENT,149000.0,2,100,,,To be done up,0,0,0,,0,,0,0
Bruxelles,Auderghem,50.8182933,4.4181491,Bruxelles,10831388,1160,Flat_Studio,APARTMENT,150000.0,1,30,,,As new,0,1,0,,1,15,0,0
Marche-En-Famenne,Durbuy,50.347537,5.560836999999999,Luxembourg,20140851,6940,Apartment,APARTMENT,155000.0,2,82,,,Good,0,1,0,,0,,0,0
Ostende,Oostende,51.2288225,2.9174076,Flandre Occidentale,20180090,8400,Apartment,APARTMENT,159000.0,2,75,,,To be done up,0,0,0,,0,,0,0
Liège,Beyne-Heusay,50.6179273,5.6612005,Liège,10828467,4610,Apartment,APARTMENT,160000.0,2,70,,3,Good,0,0,0,,0,,0,0
Soignies,Le Rœulx,50.49966879999999,4.1101065,Hainaut,11140941,7070,Apartment,APARTMENT,160000.0,1,68,,,Good,0,1,0,,0,,0,0
Ostende,Oostende,51.2327993,2.9152381,Flandre Occidentale,20308684,8400,Apartment,APARTMENT,164000.0,1,55,,,To renovate,0,0,0,,0,,0,0
Ostende,Middelkerke,51.184615,2.8115905,Flandre Occidentale,20353811,8430,Apartment,APARTMENT,165000.0,1,41,,3,As new,0,1,0,,1,3,1,0
Alost,Zottegem,50.8666229,3.811891,Flandre Orientale,20340714,9620,Apartment,APARTMENT,169000.0,1,77,,2,Good,0,1,0,,1,12,0,0
Ostende,Bredene,51.2472989,2.9633153,Flandre Occidentale,20265026,8450,Duplex,APARTMENT,172000.0,2,73,,,Good,0,1,0,,0,,0,0
Hal-Vilvorde,Zaventem Sint-Stevens-Woluwe,50.85608389999999,4.448032299999999,Brabant Flamand,20364247,1932,Apartment,APARTMENT,180000.0,1,60,,2,Good,0,0,0,,1,18,0,0
Arlon,Arlon,49.6899127,5.8135486,Luxembourg,20283729,6700,Apartment,APARTMENT,180000.0,1,61,,,Good,0,0,0,,0,,0,0
Anvers,Antwerpen,51.1831149,4.3928787,Anvers,20343420,2020,Apartment,APARTMENT,185000.0,2,102,,2,To be done up,0,0,0,,0,,0,0
Liège,ANS,50.6532838,5.5346267,Liège,20205689,4430,Apartment,APARTMENT,187500.0,1,66,,2,As new,0,0,0,,0,,0,0
Furnes,Koksijde,51.122622,2.6408727,Flandre Occidentale,11482507,8670,Apartment,APARTMENT,188000.0,1,58,,2,As new,0,1,0,,0,,1,0
Charleroi,Pont-à-Celles,50.5258397,4.3459198,Hainaut,20340969,6230,Apartment,APARTMENT,188500.0,1,64,,4,Good,0,0,0,,1,6,0,0
Bruxelles,SCHAERBEEK,50.875459,4.377056899999999,Bruxelles,20135869,1030,Apartment,APARTMENT,195000.0,2,57,,2,Good,0,1,0,,0,,0,0
Bruxelles,ANDERLECHT,50.8269366,4.28288,Bruxelles,20022950,1070,Apartment,APARTMENT,195000.0,2,75,,4,Just renovated,0,1,0,,1,12,0,0
Charleroi,Charleroi,50.409354,4.4374039,Hainaut,20386159,6000,Apartment,APARTMENT,195000.0,2,98,,3,Good,0,1,0,,0,,0,0
Louvain,Leuven,50.8887319,4.7025716,Brabant Flamand,11424594,3000,Flat_Studio,APARTMENT,198000.0,1,36,,4,Good,0,1,0,,0,,0,0
Ostende,Oostende,51.2331497,2.9154683,Flandre Occidentale,11344695,8400,Apartment,APARTMENT,198000.0,2,81,,4,Good,0,1,0,,1,3,1,0
Bruxelles,Schaerbeek,50.8690643,4.3706048,Bruxelles,20280668,1030,Apartment,APARTMENT,199000.0,1,55,,2,As new,0,1,0,,0,,0,0
Liège,LIÈGE,50.638756,5.5940051,Liège,20397361,4000,Apartment,APARTMENT,199000.0,3,104,,2,Just renovated,0,0,0,,0,,0,0
Huy,Wanze,50.5325491,5.2187553,Liège,20276001,4520,Apartment,APARTMENT,200000.0,2,80,,,Good,0,0,0,,1,4,0,0
Liège,Liège,50.6374073,5.5779422,Liège,20348397,4020,Apartment,APARTMENT,205000.0,2,86,,,As new,0,1,0,,1,5,0,0
Bruxelles,Molenbeek-Saint-Jean,50.8517892,4.313195299999999,Bruxelles,20220170,1080,Apartment,APARTMENT,210000.0,2,75,,2,Just renovated,0,1,0,,1,17,0,0
Bruxelles,Koekelberg,50.8661411,4.3125676,Bruxelles,20055656,1081,Apartment,APARTMENT,210000.0,2,101,,3,To renovate,0,1,0,,0,,0,0
